name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
FO-20-129_lung_left_upper_lobe_VOI-01.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1666.0,1597.0,1967.0,1636.0,2175.0,1180.0,,1833.404267630211,2265.140348013723,980.0712701665108,-165.00831473794855,0.08791827824040531,-0.23473810245523435
FO-20-129_lung_left_upper_lobe_VOI-01.2b_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,2033.0,1613.0,2356.0,2441.0,2189.0,1145.0,Bad common point (full-organ is just noise?),2264.3702567244,2043.601581619215,938.2343317392903,-1.2000736566974117,0.0879208814000593,-0.21580758865295602
FO-20-129_lung_left_upper_lobe_VOI-01_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,1490.0,1597.0,2830.0,1960.0,2128.0,869.0,,1623.5023552658643,1735.7584064956043,193.41711435433322,-2.2999924564564536,0.23654188617292649,-0.3131210509467263
FO-20-129_lung_left_upper_lobe_VOI-02.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2830.0,1531.0,9495.0,1439.0,1849.0,4582.0,,1199.8460767456922,1729.1126260428284,3784.0994369230298,1.7002339252181466,0.08415481376670611,-0.1930881698504742
FO-20-129_lung_left_upper_lobe_VOI-02_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2269.0,2991.0,6776.0,737.0,1940.0,4508.0,,193.58666240923017,1234.2607359019505,2905.5950432867326,0.29988629662090655,0.23654284274186782,-0.39445009892020166
FO-20-129_lung_left_upper_lobe_VOI-03.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,2060.0,525.0,4458.0,1204.0,2418.0,3928.0,Bad common point,1017.8247403331533,2413.950942718377,3540.301275077064,13.099238504351522,0.08792124791047175,-0.39099456060996707
FO-20-129_lung_left_upper_lobe_VOI-03_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,1086.0,2706.0,1235.0,2112.0,1032.0,1360.0,,1891.594678389483,375.33228610622297,1065.0199111117088,-3.7001956896839436,0.23654075732673377,-0.1495357824794223
FO-20-129_lung_left_upper_lobe_VOI-03b-bis_2.2um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1687.0,303.0,4718.0,2342.0,687.0,4067.0,,2375.4328767530455,844.3322333528291,3637.8429092201754,120.40443320016492,0.0871281196033737,-0.028939446044594953
FO-20-129_lung_left_upper_lobe_VOI-04-bis_6.5um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1986.0,1200.0,1151.0,979.0,2560.0,3984.0,,470.2220740428672,2253.1366012619524,3686.5128412520685,-0.00012543938071924606,0.2574261579832114,-0.257534036905329
FO-20-129_lung_left_upper_lobe_VOI-04.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1645.0,3079.0,15127.0,653.0,1737.0,4898.0,,511.8966950877511,1462.1541977478028,3567.7332157785463,-1.1001302195652043,0.08792065738441676,-0.17588311480060953
FO-20-129_lung_left_upper_lobe_VOI-04_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2826.0,692.0,2022.0,1174.0,2245.0,3720.0,,508.2249463550199,2065.081133669733,3241.5104239988814,-1.2999575957739415,0.23654262453742209,-0.6926724233054062
FO-20-129_lung_left_upper_lobe_VOI-05.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,975.0,1602.0,25325.0,2165.0,1611.0,4332.0,,2081.6101979710515,1469.1879047474629,2105.8862750183807,-1.4000687136867085,0.08792103345587314,-0.25554133152679054
FO-20-129_lung_left_upper_lobe_VOI-05_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2011.0,1682.0,2887.0,703.0,728.0,2506.0,,228.7571882104245,325.3723505600049,1823.7779815695862,-0.29994279879601615,0.2365431762369693,-0.3021607680446213
FO-20-129_lung_left_upper_lobe_VOI-08.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,1798.0,1318.0,5517.0,2467.0,2524.0,5210.0,,2314.992478911939,2416.1086195268954,4745.34360608773,1.4003933631177048,0.0841546778674063,-0.25025416357545405
