name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
FO-20-124-OL_lung_central-column_6.24um_bm05,FO-20-124-OL_lung_complete-organ_26.38um_bm05,1787.0,1115.0,5448.0,1887.0,1727.0,4736.0,,1464.1885459843238,1462.131998224752,3446.6327822582734,-0.19984801738688351,0.23654287407345215,-0.46730426935837943
FO-20-124-OL_lung_column1_6.24um_bm05,FO-20-124-OL_lung_complete-organ_26.38um_bm05,1473.0,2082.0,3875.0,2250.0,2418.0,4442.0,,1911.7614920828394,1916.8030692478494,3525.688151903281,-1.0996997506137773,0.2365427513517751,-0.216967083913009
FO-20-124-OL_lung_column2_6.24um_bm05,FO-20-124-OL_lung_complete-organ_26.38um_bm05,,,,,,,,,,,,,
FO-20-124-OL_lung_column3_6.24um_bm05,FO-20-124-OL_lung_complete-organ_26.38um_bm05,1660.0,2174.0,17657.0,1499.0,2554.0,4359.0,,1100.83347578976,2044.6788699328981,183.12451436662664,0.6000460804170852,0.23654323674490982,-0.2091121333753624
FO-20-125-OL_lung_column1_6.24um_bm05,FO-20-125-OL_lung_complete-organ_26.38um_bm05,,,,,,,,,,,,,
FO-20-125-OL_lung_column2_6.24um_bm05,FO-20-125-OL_lung_complete-organ_26.38um_bm05,,,,,,,,,,,,,
FO-20-125-OL_lung_column3_6.24um_bm05,FO-20-125-OL_lung_complete-organ_26.38um_bm05,,,,,,,,,,,,,
FO-20-126-UL_lung_central-column_6.24um_bm05,FO-20-126-UL_lung_complete-organ_26.38um_bm05,,,,,,,,,,,,,
FO-20-126-UL_lung_column1_6.24um_bm05,FO-20-126-UL_lung_complete-organ_26.38um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col1_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col2_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col3_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col4_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col5_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col6_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col7_2.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col1_6.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-154-UL_lung_col2_6.5um_bm05,FO-20-154-UL_lung_complete-organ_25.25um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col1_2.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col2_2.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col3_2.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col4_2.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col5_2.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col6_2.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col1_6.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col2_6.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col3_6.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
FO-20-155-OL_lung_col4_6.5um_bm05,FO-20-155-OL_lung_complete-organ_25.28um_bm05,,,,,,,,,,,,,
I58-LH_brain_IC-pieces_4.236um_bm18,I58-LH_brain_complete-organ_15.13um_bm18,,,,,,,,,,,,,
I58-LH_brain_VOI-01_6.21um_bm18,I58-LH_brain_complete-organ_15.13um_bm18,1498.0,6993.0,7243.0,5027.0,4446.0,4925.0,,3781.4982328486117,1789.1472188556766,1952.62661256638,12.99983051654353,0.4104458221886503,-0.30102174775753276
I58-LH_brain_VOI-02_6.21um_bm18,I58-LH_brain_complete-organ_15.13um_bm18,5014.0,4996.0,3092.0,4637.0,6015.0,5904.0,Point looks slightly off,,,,,,
K334_kidney_VOI-1_2.196um_bm18,K334_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
K336_kidney_VOI-1_2.191um_bm18,K336_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
K336_kidney_VOI-1_2.196um_bm18,K336_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
K336_kidney_VOI-2_2.196um_bm18,K336_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
K336_kidney_VOI-3_2.196um_bm18,K336_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
